Date,Country
1/21/2020,China
1/21/2020,Japan
1/21/2020,South Korea
1/21/2020,Thailand
1/23/2020,United States
1/24/2020,Singapore
1/24/2020,Vietnam
1/25/2020,Australia
1/25/2020,France
1/25/2020,Nepal
1/26/2020,Malaysia
1/27/2020,Canada
1/28/2020,Cambodia
1/28/2020,Germany
1/28/2020,Sri Lanka
1/29/2020,United Arab Emirates
1/30/2020,Finland
1/30/2020,India
1/30/2020,Philippines
1/31/2020,Italy
2/1/2020,Russia
2/1/2020,Spain
2/1/2020,Sweden
2/1/2020,United Kingdom
2/5/2020,Belgium
2/15/2020,Egypt
2/20/2020,Iran
2/22/2020,Israel
2/22/2020,Lebanon
2/24/2020,Kuwait
2/25/2020,Afghanistan
2/25/2020,Bahrain
2/25/2020,Iraq
2/25/2020,Oman
2/26/2020,Algeria
2/26/2020,Austria
2/26/2020,Croatia
2/26/2020,Switzerland
2/27/2020,Brazil
2/27/2020,Denmark
2/27/2020,Estonia
2/27/2020,Georgia
2/27/2020,Greece
2/27/2020,Macedonia
2/27/2020,Norway
2/27/2020,Pakistan
2/27/2020,Romania
2/28/2020,Belarus
2/28/2020,Lithuania
2/28/2020,Netherlands
2/28/2020,New Zealand
2/28/2020,Nigeria
2/29/2020,Mexico
2/29/2020,San Marino
3/1/2020,Azerbaijan
3/1/2020,Ecuador
3/1/2020,Ireland
3/1/2020,Monaco
3/1/2020,Qatar
3/2/2020,Armenia
3/2/2020,Czech Republic
3/2/2020,Dominican Republic
3/2/2020,Iceland
3/2/2020,Indonesia
3/2/2020,Luxembourg
3/3/2020,Andorra
3/3/2020,Jordan
3/3/2020,Latvia
3/3/2020,Morocco
3/3/2020,Portugal
3/3/2020,Saudi Arabia
3/3/2020,Senegal
3/3/2020,Tunisia
3/4/2020,Argentina
3/4/2020,Chile
3/4/2020,Poland
3/4/2020,Ukraine
3/5/2020,Bosnia and Herzegovina
3/5/2020,Gibraltar
3/5/2020,Hungary
3/5/2020,Liechtenstein
3/5/2020,Palestine
3/5/2020,Saint Barthlemy
3/5/2020,Saint Martin (French part)
3/5/2020,Slovenia
3/6/2020,Bhutan
3/6/2020,Cameroon
3/6/2020,Serbia
3/6/2020,South Africa
3/7/2020,Colombia
3/7/2020,Vatican
3/7/2020,Peru
3/7/2020,Slovakia
3/7/2020,Togo
3/8/2020,Bulgaria
3/8/2020,Costa Rica
3/8/2020,Faeroe Islands
3/8/2020,French Guiana
3/8/2020,Maldives
3/8/2020,Malta
3/8/2020,Martinique
3/8/2020,Moldova
3/9/2020,Albania
3/9/2020,Bangladesh
3/9/2020,Paraguay
3/10/2020,Brunei
3/10/2020,Cyprus
3/10/2020,Guernsey
3/10/2020,Mongolia
3/10/2020,Panama
3/11/2020,Bolivia
3/11/2020,Burkina Faso
3/11/2020,Democratic Republic of Congo
3/11/2020,Jamaica
3/12/2020,Cote d'Ivoire
3/12/2020,French Polynesia
3/12/2020,Honduras
3/12/2020,Turkey
3/13/2020,Cuba
3/13/2020,Guyana
3/13/2020,Jersey
3/13/2020,Reunion
3/13/2020,Saint Vincent and the Grenadines
3/14/2020,Antigua and Barbuda
3/14/2020,Cayman Islands
3/14/2020,Ethiopia
3/14/2020,Gabon
3/14/2020,Ghana
3/14/2020,Guadeloupe
3/14/2020,Guinea
3/14/2020,Kenya
3/14/2020,Puerto Rico
3/14/2020,Sudan
3/14/2020,Trinidad and Tobago
3/14/2020,Venezuela
3/15/2020,Central African Republic
3/15/2020,Congo
3/15/2020,Curacao
3/15/2020,Equatorial Guinea
3/15/2020,Swaziland
3/15/2020,Kazakhstan
3/15/2020,Mauritania
3/15/2020,Mayotte
3/15/2020,Namibia
3/16/2020,Guatemala
3/16/2020,Rwanda
3/16/2020,Saint Lucia
3/16/2020,Seychelles
3/16/2020,Suriname
3/16/2020,Uruguay
3/16/2020,Uzbekistan
