Date,Total
1/21/2020,282
1/22/2020,314
1/23/2020,581
1/24/2020,846
1/25/2020,1320
1/26/2020,2014
1/27/2020,2798
1/28/2020,4593
1/29/2020,6065
1/30/2020,7818
1/31/2020,9826
2/1/2020,11953
2/2/2020,14557
2/3/2020,17391
2/4/2020,20630
2/5/2020,24544
2/6/2020,28276
2/7/2020,31481
2/8/2020,34886
2/9/2020,37558
2/10/2020,40554
2/11/2020,43103
2/12/2020,45171
2/13/2020,46997
2/14/2020,49053
2/15/2020,50580
2/16/2020,51857
2/17/2020,71429
2/18/2020,73332
2/19/2020,75204
2/20/2020,75748
2/21/2020,76769
2/22/2020,77794
2/23/2020,78811
2/24/2020,79331
2/25/2020,80239
2/26/2020,81109
2/27/2020,82294
2/28/2020,83652
2/29/2020,85403
3/1/2020,87137
3/2/2020,88948
3/3/2020,90869
3/4/2020,93090
3/5/2020,95324
3/6/2020,98192
3/7/2020,101927
3/8/2020,105592
3/9/2020,109577
3/10/2020,113702
3/11/2020,118319
3/12/2020,125260
3/13/2020,132758
3/14/2020,142539
3/15/2020,153523
3/16/2020,167502
